Course Code,Course Name,C,Pick
FP 100,Foundation Programme,4
ES 101 (E),Engineering Graphics,3
ES 101 (H),Engineering Graphics,3
MA 103 (E),Calculus of Single Variable and Linear Algebra,4
MA 103 (H),Calculus of Single Variable and Linear Algebra,4
ES 112 (E),Computing,4
ES 112 (H),Computing,4
ES 115 (E),"Design, Innovation, and Prototyping",5
ES 115 (H),"Design, Innovation, and Prototyping",5
HS 191,Introduction to writing I,2
BS 192,Undergraduate Science Laboratory,3
PE 101,Physical Education,0
IN 101,Comprehensive Viva Voce,0
CL 202,Chemical Engineering Thermodynamics,3
CL 203,Process Fluid Mechanics,3
CL 204,Heat Transfer,3
CS 202,Software Tools and Techniques for CSE,4
CS 203,Software Tools & Techniques for AI,4
GE 201,General Education II,2
HS 221,Introduction to Philosophy,4
PH 202,Introduction to Quantum Physics,4
PH 203,Solid State Physics,4
ES 118,Materials for the Future,3
ES 204,Digital Systems,4
ES 243,Biology for Engineers,4
MSE 206,Physics of Materials,4
MSE 314,Materials Selection and Design,3
MSE 317,Materials Processing,4
ME 207,Fluid Dynamics,5
ME 209,Principles of Manufacturing Processes,3
MA 205,Calculus of Several Variables (first half),2
MA 206,Introduction to Complex Analysis (second half),2
MSE 202,Materials Thermodynamics,4
CE 201,Earth Materials and Processes,2
CL 201,Chemical Process Calculations,3
ES 242,Data Structures and Algorithms I,4
ES 244,"Signals, Systems, and Random Processes",4
ES 221,Mechanics of Solids,4
CE 203,Geospatial Engineering,3
EE 223,Electrical Machines,4
MSE 204,Transport Phenomena in Materials Engineering,4
ME 206,Statics and Dynamics,4
EE 322,Analog & Mixed Signal Circuits,4
PE 103,Physical Education,0
IN 103,Comprehensive Viva Voce,0
ES XXX,Science Basket Course,4
HS 151,Economics,4
CS 328,Introduction to Data Science,4
CS 329,Foundations of AI: Multiagent Systems,4
ES 678,Machine Learning (ES 335),4
HS XXX,HSS Elective,4
IN 105,Comprehensive Viva Voce,0
IN 107,Comprehensive Viva Voce,0
CL 313,Chemical Reaction Engineering - II,3
CL 314,Separation Processes - I,3
CL 315,Process Dynamics and Control,3
CL 326,Integrated Chemical Engineering Lab-I,3
CL XXX,Discipline Elective,4
CE 301,Soil Mechanics,5
CE 312,Design of Steel Structures,4
CE 310,Hydrology and Hydraulics,4
CE 404,Transportation Engineering,4
CS 330,Operating Systems,4
CS 331,Computer Networks,4
EE 312,Engineering Electromagnetics,4
EE 323,Digital Signal Processing,4
EE 333,Power Electronics,4
MSE 352,Material Characterization Techniques,4
ES 245,Control Systems,4
ME 333,Mechanics of Materials,3
ME 334,Heat and Mass Transfer,4
ME 362,Introduction to Manufacturing Systems and Metrology,3
MSE 313,"Polymers, Ceramics and Composites",4
MSE 304,Principles of Metal Extraction and Refining,4
FP 501,Aarohan (For 2025 MSc and MA students),2
FP 601,"Aarohan (For 2025 MTech, PGDIIT and PhD students)",2
PE 500,Physical Education (For 2022 MSc and MA students),0
PE 600,Physical Education (For 2022 M Tech and PhD students),0
BE 303,Bionanotechnology – Principles and Applications,4
BE 404,Genetic Engineering – Principles and Applications,4
BE 614,Biostatistics,4
BE 616,Human Physiology,4
BE 618,Molecular Biotechnology,4
BE 621,Peptide Technologies,2
BE 622,Applied Stem Cells Technologies,4
BE 623,Biocomputing,2
BE 625,AI Applications in Life Sciences,4
CE 315,Civil Engineering Materials,4
CL 353,Introduction to Process Safety,2
CE 601,Advanced Geotechnical Engineering,5
CE 607,Advanced Structural Analysis,4
CE 611,Advanced Engineering Hydrology,4
ES 621,Advanced Solid Mechanics,4
CE 622,Structural Dynamics,4
CE 625,Advanced Hydraulic Engineering,4
CE 627,Slopes and Retaining Structures,2
CE 634,Air Pollution Control Engineering,4
CE 635,Pavement Materials and Design,4
CE 637,Infrastructure Systems: Planning and Management,4
CE 638,Advanced Concrete Technology,4
CE 640,Hydrodynamics of Sediment Transport,4
CE 691-VI,Special Topics in Civil Engineering: Domestic Wastewater Engineering (Treatment and Reuse),4
CE 691-VIII,Special Topics in Civil Engineering: Administration of Contracts in the Infrastructure Industry,4
CL 324,Introduction to Polymer Science and Engineering,4
CL 328,Chemical Engineering Practice in Industry,2
CL 426,Biochemical Engineering,4
BS 401,Nanoscale Science,4
CL 601,Advance Transport Phenomena,4
CL 602,Advanced Thermodynamics,4
CL 604,Advanced Reaction Engineering,4
CL 633,Applications of AI in ChE,4
ES 604,Engineering Optimization,4
ES 662,"Flexible Electronics: Materials, Methods and Devices",4
ES 248,Introduction to Data Structures and Algorithms,3
CS 435,Human-Computer Interaction,4
CS 610,Algorithms,4
CS 612,Computer Systems,4
CS 613,Natural Language Processing,4
CS 619,CS Theory Toolkit,4
CS 620,Incentives and Machine learning,4
ES 667,Deep Learning,4
CS 691-XVII,Special Topics in Computer Science: Combinatorial and Computational Aspects of Games,4
CS 622,Combinatorial Game Theory,4
CS 691-XVIII,Special Topics Course: Algebraic Complexity theory,4
EH 304,"Drone Data Acquisition, Processing and Interpretation",2
MTE 602,Analysis and Design of Marine Structures,4
MTE 603,Dynamics of Maritime Structures,4
EE 617,VLSI Design,4
EE 644,Physics of Transistors,4
EE 648,Dynamic Behaviour of Electric Machines,5
ES 616,Digital Control Systems,4
ES 626,Microfabrication and Semiconductor Processes,4
EE 651,CMOS Analog IC Design,4
ES 657,Biomedical Ultrasound,4
EE 659,Smart Grid,4
EE 663,Advanced Wireless Communications,4
EE 664,High Frequency Engineering,4
ES 666,Computer Vision,4
ES 668,5G and Beyond,4
ES 675,Photonics – Principles and Applications,4
EE 662,Mixed Signal IC Design,4
EE 691-VII,Special Topics in Electrical Engineering: Economics of Regulation in India,4
ME 491-I,Special Topics in Mechanical Engineering: Nondestructive Testing/Evaluation,4
ES 607,Foundations of Fluid Dynamics,4
ME 605,Computational Fluid Dynamics,4
ES 656,Human-Robot Interaction,4
ME 639,Introduction to Robotics,5
ES 646,Elastodynamics and Vibrations,4
ME 648,Mathematical Tools for Mechanical Engineers,4
MSE 604,Deformation Behaviour of Materials,4
MSE 629,Structure and Defects of Materials,4
MSE 632,Characterization of Materials,4
MSE 636,AI for Materials Engineering,4
MSE 624,Thermo-mechanical Processing,4
CH 302,Electrochemical Science and Engineering,4
CH 506,Physical Organic Chemistry,4
CH 511,Quantum Chemistry,4
CH 513,Advanced Organic Chemistry,4
CH 528,Transition Metal Chemistry,4
CH 529,AI in Chemistry,4
CH 635,Chemical Crystallography,4
CH 616,Applied Chemical Biology,4
CH 622,Interpretative Organic Spectroscopy,4
CH 624,Molecular Spectroscopy,4
CH 626,Asymmetric Synthesis and Catalysis,4
CH 627,Metabolism & Biosynthesis,4
CH 634,Introduction to Molecular Dynamics,4
CH 636,Statistical thermodynamics and its applications in chemistry,4
CH 637,Organic Electronics,4
CH 640,Bio-inorganic Chemistry,4
CH 641,Chemistry of Energy Materials,4
MA 501,Basic Algebra,4
MA 504 (A),Linear Algebra,4
MA 509 (A),Real Analysis of One Variable,4
MA 510,Topology,4
MA 513,AI and Mathematics,4
MA 605,Commutative Algebra,4
MA 623,Number Theory,4
MA 624,Partial Differential Equations,4
MA 626,Functional Analysis,4
MA 627,Algebraic Topology,4
MA 630 (A),Measure Theory & Probability,4
